image_id,image_file,source_affordance_id,prompt_affordance_id,prompt,baseline_top1_score,unified_top1_score,score_gap_baseline_minus_unified
193717,000000193717.jpg,carry_in,talk_on,something to talk on .,0.538528,0.345809,0.192719
233727,000000233727.jpg,ride,talk_on,something to talk on .,0.456194,0.304167,0.152027
256192,000000256192.jpg,carry_in,talk_on,something to talk on .,0.472431,0.326259,0.146172
174482,000000174482.jpg,ride,talk_on,something to talk on .,0.446017,0.305202,0.140815
548339,000000548339.jpg,drink_from,talk_on,something to talk on .,0.425971,0.285328,0.140643
81394,000000081394.jpg,ride,talk_on,something to talk on .,0.448105,0.308669,0.139436
436883,000000436883.jpg,carry_in,talk_on,something to talk on .,0.426429,0.287835,0.138594
35326,000000035326.jpg,drink_from,talk_on,something to talk on .,0.471332,0.335727,0.135605
141328,000000141328.jpg,eat_with,talk_on,something to talk on .,0.474060,0.340342,0.133718
520871,000000520871.jpg,eat_with,talk_on,something to talk on .,0.426094,0.295843,0.130252
260106,000000260106.jpg,ride,talk_on,something to talk on .,0.459081,0.331184,0.127898
456015,000000456015.jpg,ride,talk_on,something to talk on .,0.413579,0.286424,0.127154
407868,000000407868.jpg,sit_on,talk_on,something to talk on .,0.463510,0.336483,0.127026
345466,000000345466.jpg,carry_in,talk_on,something to talk on .,0.393936,0.267299,0.126637
287874,000000287874.jpg,sit_on,talk_on,something to talk on .,0.445423,0.319569,0.125855
568290,000000568290.jpg,ride,talk_on,something to talk on .,0.438142,0.313008,0.125134
377946,000000377946.jpg,cut_with,talk_on,something to talk on .,0.419570,0.295433,0.124137
344888,000000344888.jpg,ride,talk_on,something to talk on .,0.461711,0.337700,0.124011
48555,000000048555.jpg,ride,talk_on,something to talk on .,0.415956,0.292081,0.123875
177213,000000177213.jpg,drink_from,talk_on,something to talk on .,0.403947,0.280933,0.123014
81738,000000081738.jpg,drink_from,talk_on,something to talk on .,0.386670,0.264761,0.121909
491867,000000491867.jpg,sit_on,talk_on,something to talk on .,0.386802,0.265209,0.121592
214539,000000214539.jpg,sit_on,talk_on,something to talk on .,0.411712,0.290341,0.121371
93353,000000093353.jpg,sit_on,talk_on,something to talk on .,0.445746,0.326733,0.119013
319696,000000319696.jpg,drink_from,talk_on,something to talk on .,0.433468,0.315569,0.117899
65350,000000065350.jpg,ride,talk_on,something to talk on .,0.421153,0.305747,0.115406
284623,000000284623.jpg,drink_from,talk_on,something to talk on .,0.359558,0.244312,0.115246
373382,000000373382.jpg,carry_in,talk_on,something to talk on .,0.379521,0.264337,0.115184
352900,000000352900.jpg,cut_with,talk_on,something to talk on .,0.412414,0.299863,0.112551
102411,000000102411.jpg,ride,talk_on,something to talk on .,0.387621,0.276381,0.111241
377723,000000377723.jpg,carry_in,talk_on,something to talk on .,0.426526,0.315956,0.110570
577932,000000577932.jpg,ride,talk_on,something to talk on .,0.360593,0.250138,0.110455
39477,000000039477.jpg,read,talk_on,something to talk on .,0.455138,0.345211,0.109927
31093,000000031093.jpg,carry_in,talk_on,something to talk on .,0.400720,0.291461,0.109259
261888,000000261888.jpg,ride,talk_on,something to talk on .,0.376679,0.267623,0.109056
338219,000000338219.jpg,sit_on,talk_on,something to talk on .,0.407001,0.298206,0.108795
93437,000000093437.jpg,read,talk_on,something to talk on .,0.384088,0.275734,0.108354
367680,000000367680.jpg,ride,talk_on,something to talk on .,0.430652,0.322364,0.108287
361238,000000361238.jpg,drink_from,talk_on,something to talk on .,0.379465,0.271316,0.108149
296222,000000296222.jpg,carry_in,talk_on,something to talk on .,0.372701,0.266750,0.105951
242934,000000242934.jpg,read,talk_on,something to talk on .,0.292578,0.187355,0.105222
463618,000000463618.jpg,sit_on,talk_on,something to talk on .,0.436743,0.331613,0.105130
264535,000000264535.jpg,read,talk_on,something to talk on .,0.365104,0.260336,0.104769
303713,000000303713.jpg,carry_in,talk_on,something to talk on .,0.379340,0.274617,0.104723
13546,000000013546.jpg,sit_on,talk_on,something to talk on .,0.426376,0.322676,0.103699
55167,000000055167.jpg,carry_in,talk_on,something to talk on .,0.420640,0.317449,0.103190
104669,000000104669.jpg,cut_with,talk_on,something to talk on .,0.375358,0.272525,0.102833
213086,000000213086.jpg,read,talk_on,something to talk on .,0.391115,0.288512,0.102603
262631,000000262631.jpg,drink_from,talk_on,something to talk on .,0.418767,0.316335,0.102432
221708,000000221708.jpg,sit_on,talk_on,something to talk on .,0.345494,0.243271,0.102223
174123,000000174123.jpg,eat_with,talk_on,something to talk on .,0.401688,0.299658,0.102030
173008,000000173008.jpg,cut_with,talk_on,something to talk on .,0.355678,0.253813,0.101865
545219,000000545219.jpg,carry_in,talk_on,something to talk on .,0.353897,0.252252,0.101646
215114,000000215114.jpg,drink_from,talk_on,something to talk on .,0.344201,0.242769,0.101433
337498,000000337498.jpg,drink_from,talk_on,something to talk on .,0.378764,0.277900,0.100864
513041,000000513041.jpg,drink_from,talk_on,something to talk on .,0.402459,0.302227,0.100232
143998,000000143998.jpg,cut_with,talk_on,something to talk on .,0.359478,0.259258,0.100220
462904,000000462904.jpg,ride,talk_on,something to talk on .,0.417023,0.316932,0.100091
334399,000000334399.jpg,read,talk_on,something to talk on .,0.392594,0.292920,0.099674
227898,000000227898.jpg,ride,talk_on,something to talk on .,0.346472,0.246867,0.099605
6471,000000006471.jpg,drink_from,talk_on,something to talk on .,0.368578,0.269017,0.099561
438226,000000438226.jpg,eat_with,talk_on,something to talk on .,0.365269,0.266362,0.098906
97924,000000097924.jpg,ride,talk_on,something to talk on .,0.362638,0.263972,0.098666
433204,000000433204.jpg,ride,talk_on,something to talk on .,0.409465,0.310846,0.098619
380706,000000380706.jpg,ride,talk_on,something to talk on .,0.358575,0.259983,0.098593
420840,000000420840.jpg,sit_on,talk_on,something to talk on .,0.358663,0.261500,0.097163
550322,000000550322.jpg,eat_with,talk_on,something to talk on .,0.356850,0.260549,0.096300
94614,000000094614.jpg,carry_in,talk_on,something to talk on .,0.333949,0.237743,0.096206
133969,000000133969.jpg,sit_on,talk_on,something to talk on .,0.373047,0.277083,0.095964
382111,000000382111.jpg,ride,talk_on,something to talk on .,0.319340,0.224266,0.095073
479248,000000479248.jpg,drink_from,talk_on,something to talk on .,0.338882,0.243932,0.094950
410650,000000410650.jpg,sit_on,talk_on,something to talk on .,0.379481,0.285081,0.094400
323828,000000323828.jpg,ride,talk_on,something to talk on .,0.341466,0.247834,0.093632
145620,000000145620.jpg,ride,talk_on,something to talk on .,0.370393,0.276889,0.093503
54605,000000054605.jpg,eat_with,talk_on,something to talk on .,0.361840,0.268671,0.093169
439593,000000439593.jpg,carry_in,talk_on,something to talk on .,0.335704,0.242908,0.092796
407614,000000407614.jpg,sit_on,talk_on,something to talk on .,0.343503,0.250798,0.092705
163117,000000163117.jpg,carry_in,talk_on,something to talk on .,0.352148,0.260089,0.092059
378284,000000378284.jpg,cut_with,talk_on,something to talk on .,0.339325,0.247949,0.091376
468925,000000468925.jpg,eat_with,talk_on,something to talk on .,0.373303,0.281999,0.091305
466125,000000466125.jpg,read,talk_on,something to talk on .,0.311796,0.221121,0.090676
423506,000000423506.jpg,drink_from,talk_on,something to talk on .,0.349170,0.258502,0.090668
470773,000000470773.jpg,cut_with,talk_on,something to talk on .,0.420674,0.330725,0.089949
331817,000000331817.jpg,cut_with,talk_on,something to talk on .,0.358838,0.269178,0.089660
450202,000000450202.jpg,eat_with,talk_on,something to talk on .,0.326656,0.237016,0.089640
166426,000000166426.jpg,eat_with,talk_on,something to talk on .,0.403789,0.315006,0.088783
513283,000000513283.jpg,cut_with,talk_on,something to talk on .,0.413843,0.325216,0.088627
371552,000000371552.jpg,sit_on,talk_on,something to talk on .,0.340967,0.252438,0.088529
460494,000000460494.jpg,cut_with,talk_on,something to talk on .,0.365098,0.276831,0.088267
242060,000000242060.jpg,eat_with,talk_on,something to talk on .,0.352334,0.264078,0.088255
485972,000000485972.jpg,eat_with,talk_on,something to talk on .,0.454494,0.366261,0.088233
289938,000000289938.jpg,drink_from,talk_on,something to talk on .,0.365626,0.277508,0.088118
236721,000000236721.jpg,eat_with,talk_on,something to talk on .,0.303850,0.216067,0.087783
179898,000000179898.jpg,read,talk_on,something to talk on .,0.342249,0.255301,0.086948
256916,000000256916.jpg,eat_with,talk_on,something to talk on .,0.311924,0.225262,0.086662
344100,000000344100.jpg,drink_from,talk_on,something to talk on .,0.407091,0.320620,0.086471
357737,000000357737.jpg,ride,talk_on,something to talk on .,0.320357,0.234078,0.086279
555005,000000555005.jpg,read,talk_on,something to talk on .,0.306969,0.220999,0.085970
329542,000000329542.jpg,drink_from,talk_on,something to talk on .,0.376532,0.291387,0.085146
287667,000000287667.jpg,cut_with,talk_on,something to talk on .,0.307340,0.222333,0.085007
429690,000000429690.jpg,sit_on,talk_on,something to talk on .,0.328793,0.244158,0.084635
7281,000000007281.jpg,ride,talk_on,something to talk on .,0.328666,0.244216,0.084449
17959,000000017959.jpg,carry_in,talk_on,something to talk on .,0.348825,0.264417,0.084408
312192,000000312192.jpg,drink_from,talk_on,something to talk on .,0.354093,0.270950,0.083143
78404,000000078404.jpg,sit_on,talk_on,something to talk on .,0.282921,0.199913,0.083009
248111,000000248111.jpg,carry_in,talk_on,something to talk on .,0.309898,0.226957,0.082941
527750,000000527750.jpg,drink_from,talk_on,something to talk on .,0.313094,0.230294,0.082800
139077,000000139077.jpg,read,talk_on,something to talk on .,0.371714,0.289044,0.082670
473869,000000473869.jpg,eat_with,talk_on,something to talk on .,0.377313,0.294705,0.082608
213255,000000213255.jpg,drink_from,talk_on,something to talk on .,0.312447,0.229897,0.082550
356531,000000356531.jpg,drink_from,talk_on,something to talk on .,0.279932,0.197537,0.082395
97337,000000097337.jpg,sit_on,talk_on,something to talk on .,0.364366,0.282259,0.082107
313034,000000313034.jpg,eat_with,talk_on,something to talk on .,0.352080,0.270057,0.082023
293858,000000293858.jpg,drink_from,talk_on,something to talk on .,0.335525,0.253598,0.081927
572462,000000572462.jpg,drink_from,talk_on,something to talk on .,0.324536,0.242790,0.081747
